"label_l1","code_l1","label_l2","code_l2"
"Freshwater & diadromous fish","10","Ornamental freshwater fish","1586"
"Freshwater & diadromous fish","10","Freshwater, live","1585"
"Freshwater & diadromous fish","10","Freshwater & diadromous, smoked","1513"
"Freshwater & diadromous fish","10","Freshwater & diadromous, dried, salted","1512"
"Freshwater & diadromous fish","10","Freshwater & diadromous, meal from offal","1511"
"Freshwater & diadromous fish","10","Freshwater & diadromous, liver oils","1510"
"Freshwater & diadromous fish","10","Freshwater & diadromous, body oils","1509"
"Freshwater & diadromous fish","10","Freshwater & diadromous, meals","1508"
"Freshwater & diadromous fish","10","Freshwater & diadromous, preparations nei","1507"
"Freshwater & diadromous fish","10","Freshwater & diadromous, canned","1506"
"Freshwater & diadromous fish","10","Freshwater & diadromous, cured","1505"
"Freshwater & diadromous fish","10","Freshwater & diadromous, frozen fillets","1504"
"Freshwater & diadromous fish","10","Freshwater & diadromous, fresh fillets","1503"
"Freshwater & diadromous fish","10","Freshwater & diadromous, frozen, whole","1502"
"Freshwater & diadromous fish","10","Freshwater & diadromous fish, fresh","1501"
"Demersal fish","20","Demersal, dried, salted","1526"
"Demersal fish","20","Demersal, dried, unsalted","1525"
"Demersal fish","20","Demersal, meal from offal","1524"
"Demersal fish","20","Demersal, liver oils","1523"
"Demersal fish","20","Demersal, body oils","1522"
"Demersal fish","20","Demersal, meals","1521"
"Demersal fish","20","Demersal, preparations nei","1520"
"Demersal fish","20","Demersal, canned","1519"
"Demersal fish","20","Demersal, cured","1518"
"Demersal fish","20","Demersal frozen, fillets","1517"
"Demersal fish","20","Demersal, fresh fillets","1516"
"Demersal fish","20","Demersal, frozen, whole","1515"
"Demersal fish","20","Demersal fish, fresh","1514"
"Pelagic fish","30","Small Pelagics, flour","1597"
"Pelagic fish","30","Small pelagics, soluble","1577"
"Pelagic fish","30","Small pelagics, smoked","1539"
"Pelagic fish","30","Small pelagics, dried, salted","1538"
"Pelagic fish","30","Pelagic, meal from offal","1537"
"Pelagic fish","30","Pelagic, liver oils","1536"
"Pelagic fish","30","Pelagic, body oils","1535"
"Pelagic fish","30","Pelagic, meals","1534"
"Pelagic fish","30","Pelagic, preparations nei","1533"
"Pelagic fish","30","Pelagic, canned","1532"
"Pelagic fish","30","Pelagic, cured","1531"
"Pelagic fish","30","Pelagic, frozen fillets","1530"
"Pelagic fish","30","Pelagic, fresh fillets","1529"
"Pelagic fish","30","Pelagic, frozen, whole","1528"
"Pelagic fish","30","Pelagic fish, fresh","1527"
"Marine fish nei","40","Fishery, total value","1599"
"Marine fish nei","40","Marine fish nei, solubles","1578"
"Marine fish nei","40","Marine fish, sauce","1569"
"Marine fish nei","40","Marine fish nei, cakes, sausages","1561"
"Marine fish nei","40","Marine fish nei, fermented","1560"
"Marine fish nei","40","Marine fish nei, smoked","1552"
"Marine fish nei","40","Marine fish nei, dried, salted","1551"
"Marine fish nei","40","Marine fish nei, meal from offal","1550"
"Marine fish nei","40","Marine fish nei, liver oils","1549"
"Marine fish nei","40","Marine fish nei, body oils","1548"
"Marine fish nei","40","Marine fish nei, meals","1547"
"Marine fish nei","40","Marine fish nei,  preparations nei","1546"
"Marine fish nei","40","Marine fish nei, canned","1545"
"Marine fish nei","40","Marine fish nei, cured","1544"
"Marine fish nei","40","Marine fish nei, frozen fillets","1543"
"Marine fish nei","40","Marine fish nei, fresh fillets","1542"
"Marine fish nei","40","Marine fish nei, frozen, whole","1541"
"Marine fish nei","40","Marine fish nei, fresh","1540"
"Crustaceans","50","Krill","1593"
"Crustaceans","50","Crustaceans, meal from offal","1559"
"Crustaceans","50","Crustaceans, meals","1558"
"Crustaceans","50","Crustaceans, preparations nei","1557"
"Crustaceans","50","Crustaceans, canned","1556"
"Crustaceans","50","Crustaceans, cured","1555"
"Crustaceans","50","Crustaceans, frozen","1554"
"Crustaceans","50","Crustaceans, fresh","1553"
"Molluscs excl. cephalopods","60","Molluscs, live","1592"
"Molluscs excl. cephalopods","60","Molluscs, schucked","1568"
"Molluscs excl. cephalopods","60","Molluscs excl. ceph., meal from offal","1567"
"Molluscs excl. cephalopods","60","Molluscs excl. ceph., meals","1566"
"Molluscs excl. cephalopods","60","Molluscs excl. ceph., canned","1565"
"Molluscs excl. cephalopods","60","Molluscs excl. ceph., cured","1564"
"Molluscs excl. cephalopods","60","Molluscs excl. ceph., frozen","1563"
"Molluscs excl. cephalopods","60","Molluscs excl. cephalopods, fresh","1562"
"Cephalopods","70","Cephalopods, meal from offal","1576"
"Cephalopods","70","Cephalopods, meals","1575"
"Cephalopods","70","Cephalopods, preparations nei","1574"
"Cephalopods","70","Cephalopods, canned","1573"
"Cephalopods","70","Cephalopods, cured","1572"
"Cephalopods","70","Cephalopods, frozen","1571"
"Cephalopods","70","Cephalopods, fresh","1570"
"Aquatic mammals","80","Aquatic mammals, meal from offal","1584"
"Aquatic mammals","80","Aquatic mammals, preparations nei","1583"
"Aquatic mammals","80","Aquatic mammals, oils","1582"
"Aquatic mammals","80","Aquatic mammals, meals","1581"
"Aquatic mammals","80","Aquatic mammals, meat","1580"
"Aquatic mammals","80","Aquatic mammals","1579"
"Aquatic animals nei","90","Guano","1598"
"Aquatic animals nei","90","Aquatic animals nei, meal from offal","1591"
"Aquatic animals nei","90","Aquatic animals nei, preparations nei","1590"
"Aquatic animals nei","90","Aquatic animals nei, meals","1589"
"Aquatic animals nei","90","Aquatic animals nei, cured","1588"
"Aquatic animals nei","90","Aquatic animals nei, fresh","1587"
"Aquatic plants","99","Aquatic plants, preparations nei","1596"
"Aquatic plants","99","Aquatic plants, dried","1595"
"Aquatic plants","99","Aquatic plants","1594"
